ID,요구사항,구현 파일,검증 테스트,현재 상태
R-01,"source YAML·Node runner·Python runner의 phase route artifact fix-loop 계약과 current_phase/next_command가 동일하다.","workflows/*.yaml; src/agent_flow/workflows/*.yaml; bin/agent-flow-kit.mjs; src/agent_flow/runner.py; src/agent_flow/core/phase_workflow.py","scripts/check-agent-flow-parity.mjs; tests/test_node_workflow_semantics.mjs; tests/test_python_workflow_hardening.py",pass
R-02,"Claude Codex OMP가 같은 workflow phase route hook·reviewer·skill 계약을 제공한다.","bin/agent-flow-kit.mjs; src/agent_flow/runner.py; bootstrap/AGENTS.md.template; bootstrap/CLAUDE.md.template; scripts/hooks/*","scripts/check-agent-flow-parity.mjs; tests/test_hook_adversarial_guards.py; tests/test_node_profile_installer_contract.mjs",pass
R-03,"default/full-feature의 review→gates↔fix-loop 순환 multi-review 독립 reviewer 계약과 fix_loop_rounds 상한을 유지한다.","workflows/default.yaml; workflows/full-feature.yaml; src/agent_flow/workflows/*.yaml; bin/agent-flow-kit.mjs; src/agent_flow/runner.py; src/agent_flow/multi_review.py","tests/test_runner_smoke.py; tests/test_python_workflow_hardening.py; scripts/check-agent-flow-parity.mjs",pass
R-04,"follow-up prompt에서도 현재 active run의 pinned worktree를 재사용하고 새 worktree나 leader 실행으로 이탈하지 않는다.","lib/start-lock.mjs; src/agent_flow/core/start_lock.py; src/agent_flow/core/worktrees.py; bin/agent-flow-kit.mjs; src/agent_flow/core/state.py","tests/test_start_safety.mjs; tests/test_start_safety.py; tests/test_node_workflow_semantics.mjs; tests/test_runner_smoke.py",pass
R-05,"worktree는 프로젝트 루트 내부에 생성하고 leader checkout 쓰기·checkout·switch와 보호 branch commit/push를 모든 host에서 차단한다.","scripts/hooks/guard-worktree-write.py; scripts/hooks/guard-worktree.sh; scripts/hooks/guard-protected-branch.sh; src/agent_flow/core/worktrees.py","tests/test_hook_adversarial_guards.py; tests/test_guard_script_wrappers.py; tests/test_runner_smoke.py",pass
R-06,"worktree/branch slug는 작업 의미를 반영하고 Figma·이미지 파일명이나 경로를 그대로 사용하지 않는다.","lib/worktree-naming.mjs; src/agent_flow/core/worktrees.py; profiles/*.yaml","tests/test_start_safety.mjs; tests/test_runner_smoke.py",pass
R-07,"leader와 git-private state root의 Node/Python structured manifest를 모두 탐지하여 중복 run을 fail-closed 차단한다.","bin/agent-flow-kit.mjs; scripts/hooks/guard-worktree-write.py; src/agent_flow/core/state.py","tests/test_hook_active_manifest_recovery.py; tests/test_node_workflow_semantics.mjs",pass
R-08,"Claude Codex OMP managed hook은 검증한 inode 또는 immutable staged bytes를 실행하여 hash-check/path-exec TOCTOU를 허용하지 않는다.","bin/agent-flow-kit.mjs; lib/codex-hook-trust.mjs; lib/worktree-host-bridge.mjs; src/agent_flow/core/skill_plan.py; src/agent_flow/core/codex_trust.py; src/agent_flow/core/host_bridge.py; scripts/hooks/*","tests/test_hook_adversarial_guards.py; tests/test_pinned_launcher_hooks.py; tests/test_node_profile_installer_contract.mjs; tests/test_python_skill_pin.py; tests/test_worktree_host_bridge.mjs; tests/test_host_bridge.py",pass
R-09,"install/recovery는 project-controlled journal만으로 global Codex trust를 신규 적용하지 않고 owner·외부 인증 근거를 요구한다.","bin/agent-flow-kit.mjs; lib/codex-hook-trust.mjs; src/agent_flow/core/codex_trust.py","tests/test_worktree_host_bridge.mjs; tests/test_pinned_launcher_hooks.py; tests/test_python_skill_pin.py",pass
R-10,"worktree host bridge는 user bytes를 no-clobber로 보존하고 rollback 시 dev/inode/nlink 소유권을 확인하며 모든 오류를 aggregate한다.","lib/worktree-host-bridge.mjs; src/agent_flow/core/host_bridge.py","tests/test_worktree_host_bridge.mjs; tests/test_host_bridge.py",pass
